label,ac_year,district,block,udise,school_name
BILASPUR (H.P.),850,BILASPUR (H.P.),GHUMARWIN-I,2080400301,GPS KANJYAN
GHUMARWIN-I,156,BILASPUR (H.P.),GHUMARWIN-I,2080400501,GPS HAMBOT
GHUMARWIN-II,129,BILASPUR (H.P.),GHUMARWIN-I,2080400502,GHS HAMBOT
JHANDUTTA,176,BILASPUR (H.P.),GHUMARWIN-I,2080400601,GPS BAGETU
SADAR,214,BILASPUR (H.P.),GHUMARWIN-I,2080400701,GPS BARI CHAUK
SWARGHAT,175,BILASPUR (H.P.),GHUMARWIN-I,2080400702,GMS BARI CHAUK
CHAMBA,1640,BILASPUR (H.P.),GHUMARWIN-I,2080401001,GPS BHATWARA
BANIKHET,119,BILASPUR (H.P.),GHUMARWIN-I,2080401002,GMS BHATWARA
BHARMOUR,86,BILASPUR (H.P.),GHUMARWIN-I,2080401201,GPS SONKHAR
CHAMBA,151,BILASPUR (H.P.),GHUMARWIN-I,2080401301,GPS HATWAR
CHOWARI,126,BILASPUR (H.P.),GHUMARWIN-I,2080401302,GPS KATHLAG
GAROLA,78,BILASPUR (H.P.),GHUMARWIN-I,2080401303,GSSS HATWAR
GEHRA,81,BILASPUR (H.P.),GHUMARWIN-I,2080401304,GPS DAIRE
HARDASPURA,127,BILASPUR (H.P.),GHUMARWIN-I,2080401401,GPS KOT
KALHEL,104,BILASPUR (H.P.),GHUMARWIN-I,2080401402,GSSS KOT
KIANI,109,BILASPUR (H.P.),GHUMARWIN-I,2080401501,GPS KOTLU
MEHLA,76,BILASPUR (H.P.),GHUMARWIN-I,2080402101,GPS GHANDALWIN
PANGI,95,BILASPUR (H.P.),GHUMARWIN-I,2080402102,GMS GHANDALWIN
SALOONI,134,BILASPUR (H.P.),GHUMARWIN-I,2080402301,GPS BALOTA
SIHUNTA,120,BILASPUR (H.P.),GHUMARWIN-I,2080402401,GPS TARGHEL
SUNDLA,127,BILASPUR (H.P.),GHUMARWIN-I,2080402402,GPS TARAUN
TISSA,107,BILASPUR (H.P.),GHUMARWIN-I,2080402403,GHS TARAUN
HAMIRPUR (H.P.),765,BILASPUR (H.P.),GHUMARWIN-I,2080403101,GPS MARHANA
BHORANJ,160,BILASPUR (H.P.),GHUMARWIN-I,2080403102,GPS KUTHERA
BIJHARI,168,BILASPUR (H.P.),GHUMARWIN-I,2080403103,GMS KUTHERA MARHANA 
GALORE,90,BILASPUR (H.P.),GHUMARWIN-I,2080403104,GSSS MARHANA
HAMIRPUR,155,BILASPUR (H.P.),GHUMARWIN-I,2080403201,GPS THADOH
NADAUN,96,BILASPUR (H.P.),GHUMARWIN-I,2080403401,GPS PANTEHRA
SUJANPUR,96,BILASPUR (H.P.),GHUMARWIN-I,2080403402,GHS PANTEHRA
KANGRA,2537,BILASPUR (H.P.),GHUMARWIN-I,2080403601,GPS BUM
BAIJNATH,142,BILASPUR (H.P.),GHUMARWIN-I,2080403602,GMS BUM
BHAWARNA,129,BILASPUR (H.P.),GHUMARWIN-I,2080403603,GPS THUILA
CHADHIAR,49,BILASPUR (H.P.),GHUMARWIN-I,2080403604,GPS KOTLU
DADASIBA,177,BILASPUR (H.P.),GHUMARWIN-I,2080403701,GPS SALAON
DEHRA,147,BILASPUR (H.P.),GHUMARWIN-I,2080403702,GSSS SALAON
DHARAMSALA,125,BILASPUR (H.P.),GHUMARWIN-I,2080404101,GPS NALTI
FATEHPUR,129,BILASPUR (H.P.),GHUMARWIN-I,2080404102,GSSS NALTI
INDORA,136,BILASPUR (H.P.),GHUMARWIN-I,2080404301,GPS KULWARI
JAWALI,87,BILASPUR (H.P.),GHUMARWIN-I,2080404701,GPS LUHNOO
KANGRA,150,BILASPUR (H.P.),GHUMARWIN-I,2080405201,GPS MEHRIN KATHLA
LAMBAGAON,157,BILASPUR (H.P.),GHUMARWIN-I,2080405202,GHS LADDA CHAUGAN
NAGROTA BAGWAN,134,BILASPUR (H.P.),GHUMARWIN-I,2080406001,GPS DHARWARA
NAGROTA SURIAN,77,BILASPUR (H.P.),GHUMARWIN-I,2080406101,GPS TALWARA
NURPUR,190,BILASPUR (H.P.),GHUMARWIN-I,2080406102,GSSS TALWARA
PALAMPUR,110,BILASPUR (H.P.),GHUMARWIN-I,2080406301,GPS DHALYANI
PANCHRUKHI,136,BILASPUR (H.P.),GHUMARWIN-I,2080406401,GPS MIHARA
RAIT,180,BILASPUR (H.P.),GHUMARWIN-I,2080406402,GMS MIHARA
RAJA KA TALAB,118,BILASPUR (H.P.),GHUMARWIN-I,2080406601,GPS GATAUR
RAKKAR,164,BILASPUR (H.P.),GHUMARWIN-I,2080406602,GPS BAROTA
KINNAUR,269,BILASPUR (H.P.),GHUMARWIN-I,2080406603,GPS SUSNAL
KALPA,78,BILASPUR (H.P.),GHUMARWIN-I,2080406604,GSSS BAROTA
NICHAR,106,BILASPUR (H.P.),GHUMARWIN-I,2080406701,GPS DUMEHAR
POOH,85,BILASPUR (H.P.),GHUMARWIN-I,2080406702,GSSS DUMEHAR
KULLU,1026,BILASPUR (H.P.),GHUMARWIN-I,2080406801,GPS LAHOT
ANNI,158,BILASPUR (H.P.),GHUMARWIN-I,2080407201,GPS LEHRI SARAIL
BANJAR,221,BILASPUR (H.P.),GHUMARWIN-I,2080407202,GPS JOL
KULLU-1,201,BILASPUR (H.P.),GHUMARWIN-I,2080407203,GPS BHARARI
KULLU-2,165,BILASPUR (H.P.),GHUMARWIN-I,2080407204,GSSS BHARARI
NAGGAR,131,BILASPUR (H.P.),GHUMARWIN-I,2080407208,GMS JOL
NIRMAND,150,BILASPUR (H.P.),GHUMARWIN-I,2080407301,GPS HARI TALYANGAR
LAHUL & SPITI,268,BILASPUR (H.P.),GHUMARWIN-I,2080407302,GMS HARI TALYANGAR
KAZA,97,BILASPUR (H.P.),GHUMARWIN-I,2080408201,GPS BHADSIN
KEYLONG-I,50,BILASPUR (H.P.),GHUMARWIN-I,2080408202,GMS BHADSIN
KEYLONG-II,53,BILASPUR (H.P.),GHUMARWIN-I,2080408301,GPS LADHYANI
UDAIPUR,68,BILASPUR (H.P.),GHUMARWIN-I,2080408701,GPS BHAPRAL
MANDI,2460,BILASPUR (H.P.),GHUMARWIN-I,2080408702,GHS BHAPRAL
BALH,169,BILASPUR (H.P.),GHUMARWIN-I,2080409101,GPS THANDORA
CHACHIOT-1,126,BILASPUR (H.P.),GHUMARWIN-I,2080409102,GMS THANDORA
CHACHIOT-2,60,BILASPUR (H.P.),GHUMARWIN-I,2080409201,GPS LANJHTA
CHAUNTRA-1,92,BILASPUR (H.P.),GHUMARWIN-I,2080409401,GPS GAHAR
CHAUNTRA-2,83,BILASPUR (H.P.),GHUMARWIN-I,2080409501,GHS GAHAR
DHARAMPUR-1,73,BILASPUR (H.P.),GHUMARWIN-I,2080410101,GPS BAH
DHARAMPUR-2,130,BILASPUR (H.P.),GHUMARWIN-I,2080410201,GPS JARORA
DRANG-1,134,BILASPUR (H.P.),GHUMARWIN-I,2080410601,GPS KASOHAL
DRANG-2,163,BILASPUR (H.P.),GHUMARWIN-I,2080411201,GPS BHUNDAL
GOPALPUR-1,109,BILASPUR (H.P.),GHUMARWIN-I,2080411401,GPS DALOLI
GOPALPUR-2,110,BILASPUR (H.P.),GHUMARWIN-I,2080411601,GSSS KUTHERA
KARSOG-1,148,BILASPUR (H.P.),GHUMARWIN-I,2080411701,GPS KUTHERA
KARSOG-2,166,BILASPUR (H.P.),GHUMARWIN-I,2080411702,GPS GHAMARARA
SADAR-1,116,BILASPUR (H.P.),GHUMARWIN-I,2080411801,GPS TIHRI
SADAR-2,149,BILASPUR (H.P.),GHUMARWIN-I,2080411802,GPS MUNDKHAR
SAIGALOO,122,BILASPUR (H.P.),GHUMARWIN-I,2080412001,GPS BEKAL
SERAJ-1,126,BILASPUR (H.P.),GHUMARWIN-I,2080412301,GPS BAH RANNAUTAN
SERAJ-2,128,BILASPUR (H.P.),GHUMARWIN-I,2080412302,GHS BAH RANNAUTAN
SUNDER NAGAR-1,153,BILASPUR (H.P.),GHUMARWIN-I,2080412401,GPS MASAUR
SUNDER NAGAR-2,103,BILASPUR (H.P.),GHUMARWIN-I,2080412501,GPS MASDHAN
SHIMLA,2318,BILASPUR (H.P.),GHUMARWIN-I,2080412801,GPS MORSINGHI
CHAUHARA,90,BILASPUR (H.P.),GHUMARWIN-I,2080412802,GSSS MORSINGHI
CHOPAL,119,BILASPUR (H.P.),GHUMARWIN-I,2080412901,GPS RANDOH
DEHA,88,BILASPUR (H.P.),GHUMARWIN-I,2080413001,GPS BARI CHHAJOLI
DODRAKAWAR,20,BILASPUR (H.P.),GHUMARWIN-I,2080413002,GPS PANIALA
JUBBAL,139,BILASPUR (H.P.),GHUMARWIN-I,2080413003,GMS BARI CHHAJOLI
KASUMPATI,91,BILASPUR (H.P.),GHUMARWIN-I,2080413301,GPS DABHLA
KOTKHAI,142,BILASPUR (H.P.),GHUMARWIN-I,2080413302,GHS DABHLA
KUMARSAIN,143,BILASPUR (H.P.),GHUMARWIN-I,2080413501,GPS GALASIN
KUPVI,85,BILASPUR (H.P.),GHUMARWIN-I,2080414201,GPS SOI
MASHOBRA,114,BILASPUR (H.P.),GHUMARWIN-I,2080414501,GPS KALLARI
MATIANA,74,BILASPUR (H.P.),GHUMARWIN-I,2080414503,GMS KALLARI
NANKHARI,105,BILASPUR (H.P.),GHUMARWIN-I,2080414701,GPS SOHAL
NERWA,170,BILASPUR (H.P.),GHUMARWIN-I,2080414702,GHS SOHAL
RAMPUR,143,BILASPUR (H.P.),GHUMARWIN-I,2080415101,GPS KATHALAG
RAMPUR-II AT SARAHAN,123,BILASPUR (H.P.),GHUMARWIN-I,2080415102,GSSS KATHALAG
RANSAR (JANGLA),74,BILASPUR (H.P.),GHUMARWIN-I,2080416001,GPS BHABBA
ROHRU,128,BILASPUR (H.P.),GHUMARWIN-I,2080416101,GPS DOON
SHIMLA-4,149,BILASPUR (H.P.),GHUMARWIN-I,2080416201,GPS KOTLA
SUNI,152,BILASPUR (H.P.),GHUMARWIN-I,2080416202,GMS KOTLA
THEOG,108,BILASPUR (H.P.),GHUMARWIN-I,2080416501,GPS BARI MAJHERWAN
TIKKAR,61,BILASPUR (H.P.),GHUMARWIN-I,2080416502,GHS BARI MAJHERWAN
SIRMAUR,1451,BILASPUR (H.P.),GHUMARWIN-I,2080416601,GPS THALOTU
BAKRAS,131,BILASPUR (H.P.),GHUMARWIN-I,2080416901,GPS KAPAHRA
DADAHU,117,BILASPUR (H.P.),GHUMARWIN-I,2080416902,GPS CHALARAN
KAFFOTTA,85,BILASPUR (H.P.),GHUMARWIN-I,2080416903,GPS ANDROLI
MAJRA,92,BILASPUR (H.P.),GHUMARWIN-I,2080416904,GSSS KAPAHRA
NAHAN,98,BILASPUR (H.P.),GHUMARWIN-I,2080416907,GMS ANDROLI
NARAG,106,BILASPUR (H.P.),GHUMARWIN-I,2080417001,GPS CHHAT
NOHRADHAR,138,BILASPUR (H.P.),GHUMARWIN-I,2080417002,GPS SANDYAR
PAONTA SAHIB,105,BILASPUR (H.P.),GHUMARWIN-I,2080417003,GPS MOHIN
RAJGARH,172,BILASPUR (H.P.),GHUMARWIN-I,2080417004,GSSS CHHAT
SARAHAN,108,BILASPUR (H.P.),GHUMARWIN-I,2080417301,GPS LURHANI
SATAUN,91,BILASPUR (H.P.),GHUMARWIN-I,2080417302,GPS MANAN
SHILLAI,119,BILASPUR (H.P.),GHUMARWIN-I,2080417401,GPS KALLAR
SURLA,89,BILASPUR (H.P.),GHUMARWIN-I,2080417501,GHS KALLAR
SOLAN,1083,BILASPUR (H.P.),GHUMARWIN-I,2080417801,GPS KASARU
ARKI,119,BILASPUR (H.P.),GHUMARWIN-I,2080417901,GPS PLASLA
DHARAMPUR,181,BILASPUR (H.P.),GHUMARWIN-I,2080417902,GMS PLASLA
DHUNDAN,120,BILASPUR (H.P.),GHUMARWIN-I,2080418101,GPS MACHHWAN
KANDAGHAT,162,BILASPUR (H.P.),GHUMARWIN-I,2080418601,GPS CHHANJIAR
KUTHAR,173,BILASPUR (H.P.),GHUMARWIN-I,2080418602,GMS CHHANJIAR
NALAGARH,172,BILASPUR (H.P.),GHUMARWIN-I,2080418801,GPS KALOH
RAMSHAHAR,156,BILASPUR (H.P.),GHUMARWIN-I,2080418901,GPS SEYO NASWAL
UNA,762,BILASPUR (H.P.),GHUMARWIN-I,2080419101,GPS DADHOL
AMB,129,BILASPUR (H.P.),GHUMARWIN-I,2080419102,GSSS DADHOL
BANGANA,149,BILASPUR (H.P.),GHUMARWIN-I,2080419301,GPS CHHANDOH
GAGRET-1,118,BILASPUR (H.P.),GHUMARWIN-I,2080419302,GHS CHHANDOH
GAGRET-2,108,BILASPUR (H.P.),GHUMARWIN-I,2080419401,GPS PAPLAH
HAROLI,121,BILASPUR (H.P.),GHUMARWIN-I,2080419501,GPS SUNALI
UNA,137,BILASPUR (H.P.),GHUMARWIN-I,2080419801,GPS GALLIAN
Grand Total,15429,BILASPUR (H.P.),GHUMARWIN-I,2080419802,GPS GALLIAN KHAS
,,BILASPUR (H.P.),GHUMARWIN-I,2080419803,GSSS GALLIAN
,,BILASPUR (H.P.),GHUMARWIN-I,2080420001,GPS MUNDKHAR
,,BILASPUR (H.P.),GHUMARWIN-I,2080420002,GMS MUNDKHAR
,,BILASPUR (H.P.),GHUMARWIN-I,2080420201,GPS CHOKHNA
,,BILASPUR (H.P.),GHUMARWIN-I,2080420202,GHS CHOKHNA
,,BILASPUR (H.P.),GHUMARWIN-I,2080420401,GPS DOHRU
,,BILASPUR (H.P.),GHUMARWIN-I,2080420501,GPS PADYALAG
,,BILASPUR (H.P.),GHUMARWIN-I,2080420701,GPS PATTA
,,BILASPUR (H.P.),GHUMARWIN-I,2080420702,GMS PATTA
,,BILASPUR (H.P.),GHUMARWIN-I,2080421001,GPS DAKHIYUT
,,BILASPUR (H.P.),GHUMARWIN-I,2080421101,GPS DANGAR
,,BILASPUR (H.P.),GHUMARWIN-I,2080421102,GPS ROPRI
,,BILASPUR (H.P.),GHUMARWIN-I,2080421103,GPS LOWER DANGAR
,,BILASPUR (H.P.),GHUMARWIN-I,2080421104,GSSS DANGAR
,,BILASPUR (H.P.),GHUMARWIN-I,2080421401,GPS DUHAK
,,BILASPUR (H.P.),GHUMARWIN-I,2080421402,GMS DUHAK
,,BILASPUR (H.P.),GHUMARWIN-I,2080421601,GPS BARD
,,BILASPUR (H.P.),GHUMARWIN-I,2080421602,GMS BARD
,,BILASPUR (H.P.),GHUMARWIN-II,2080500401,GPS CHUWARI
,,BILASPUR (H.P.),GHUMARWIN-II,2080500402,GHS CHUWARI
,,BILASPUR (H.P.),GHUMARWIN-II,2080500501,GPS AWDHANNI GHAT
,,BILASPUR (H.P.),GHUMARWIN-II,2080501001,GPS TAKREHARA
,,BILASPUR (H.P.),GHUMARWIN-II,2080501002,GHS TAKREHARA
,,BILASPUR (H.P.),GHUMARWIN-II,2080501201,GPS ROHIN
,,BILASPUR (H.P.),GHUMARWIN-II,2080501202,GPS ROHIN KHAS
,,BILASPUR (H.P.),GHUMARWIN-II,2080501204,GMS ROHIN
,,BILASPUR (H.P.),GHUMARWIN-II,2080501301,GPS AMER SINGH PURA
,,BILASPUR (H.P.),GHUMARWIN-II,2080501401,GPS MALYAWER
,,BILASPUR (H.P.),GHUMARWIN-II,2080501402,GPS BHATOLI
,,BILASPUR (H.P.),GHUMARWIN-II,2080501403,GSSS MALYAWER
,,BILASPUR (H.P.),GHUMARWIN-II,2080501501,GPS BALOHI
,,BILASPUR (H.P.),GHUMARWIN-II,2080501502,GMS BALOHI
,,BILASPUR (H.P.),GHUMARWIN-II,2080502001,GPS NAIN GUJRAN
,,BILASPUR (H.P.),GHUMARWIN-II,2080502101,GPS BALH CHURANI
,,BILASPUR (H.P.),GHUMARWIN-II,2080502102,GSSS BALH CHURANI
,,BILASPUR (H.P.),GHUMARWIN-II,2080502103,GPS SATAHLI
,,BILASPUR (H.P.),GHUMARWIN-II,2080502301,GSSS GWAL MUTHANI
,,BILASPUR (H.P.),GHUMARWIN-II,2080502401,GPS GWAL MUTHANI
,,BILASPUR (H.P.),GHUMARWIN-II,2080502701,GPS HARLOG
,,BILASPUR (H.P.),GHUMARWIN-II,2080502901,GPS BAROTA
,,BILASPUR (H.P.),GHUMARWIN-II,2080502902,GMS BAROTA
,,BILASPUR (H.P.),GHUMARWIN-II,2080503101,GPS SILH
,,BILASPUR (H.P.),GHUMARWIN-II,2080503201,GPS NAIN
,,BILASPUR (H.P.),GHUMARWIN-II,2080503501,GPS MEHRAN
,,BILASPUR (H.P.),GHUMARWIN-II,2080503502,GMS MEHRAN
,,BILASPUR (H.P.),GHUMARWIN-II,2080503601,GPS CHALEHLI
,,BILASPUR (H.P.),GHUMARWIN-II,2080503602,GPS KHILA RA DORA
,,BILASPUR (H.P.),GHUMARWIN-II,2080503603,GSSS CHALAILI
,,BILASPUR (H.P.),GHUMARWIN-II,2080503801,GPS KUH GHAT
,,BILASPUR (H.P.),GHUMARWIN-II,2080504001,GPS JABLYANA
,,BILASPUR (H.P.),GHUMARWIN-II,2080504002,GMS JABLYANA
,,BILASPUR (H.P.),GHUMARWIN-II,2080504201,GPS KUH MAJHWAR
,,BILASPUR (H.P.),GHUMARWIN-II,2080504202,GSSS KUH MAJHWAR
,,BILASPUR (H.P.),GHUMARWIN-II,2080504401,GPS GHULATAR
,,BILASPUR (H.P.),GHUMARWIN-II,2080504801,GPS DHARAT PALIALA
,,BILASPUR (H.P.),GHUMARWIN-II,2080504901,GPS SARYUN
,,BILASPUR (H.P.),GHUMARWIN-II,2080505201,GPS BARDHIN
,,BILASPUR (H.P.),GHUMARWIN-II,2080505301,GSSS BARDHIN
,,BILASPUR (H.P.),GHUMARWIN-II,2080505701,GPS TIUN KHAS
,,BILASPUR (H.P.),GHUMARWIN-II,2080505702,GHS TIUN KHAS
,,BILASPUR (H.P.),GHUMARWIN-II,2080506001,GPS JUKHAN
,,BILASPUR (H.P.),GHUMARWIN-II,2080506201,GPS HAWAN
,,BILASPUR (H.P.),GHUMARWIN-II,2080506202,GSSS HAWAN
,,BILASPUR (H.P.),GHUMARWIN-II,2080506501,GPS CHURARI
,,BILASPUR (H.P.),GHUMARWIN-II,2080506502,GMS CHURARI
,,BILASPUR (H.P.),GHUMARWIN-II,2080507001,GPS JOL PALAKHIN
,,BILASPUR (H.P.),GHUMARWIN-II,2080507002,GMS JOL PALAKHIN
,,BILASPUR (H.P.),GHUMARWIN-II,2080507201,GPS CHALAG
,,BILASPUR (H.P.),GHUMARWIN-II,2080507401,GPS BHULSWAI
,,BILASPUR (H.P.),GHUMARWIN-II,2080507501,GPS TANTHA
,,BILASPUR (H.P.),GHUMARWIN-II,2080507502,GMS TANTHA
,,BILASPUR (H.P.),GHUMARWIN-II,2080507601,GPS KOTHI BHARERI
,,BILASPUR (H.P.),GHUMARWIN-II,2080507901,GPS SINDHAR
,,BILASPUR (H.P.),GHUMARWIN-II,2080508101,GPS TALIANA
,,BILASPUR (H.P.),GHUMARWIN-II,2080508102,GSSS TALIYANA
,,BILASPUR (H.P.),GHUMARWIN-II,2080508301,GPS KOTHI
,,BILASPUR (H.P.),GHUMARWIN-II,2080508501,GPS BARI BAGOT
,,BILASPUR (H.P.),GHUMARWIN-II,2080508503,GMS BARI BAGHOT
,,BILASPUR (H.P.),GHUMARWIN-II,2080508701,GPS MOR SINGHI
,,BILASPUR (H.P.),GHUMARWIN-II,2080509001,GPS GHUMARWIN
,,BILASPUR (H.P.),GHUMARWIN-II,2080509003,GPS HAR KUKHAR
,,BILASPUR (H.P.),GHUMARWIN-II,2080509004,GSSS (GIRLS) GHUMARWIN
,,BILASPUR (H.P.),GHUMARWIN-II,2080509005,GSSS (BOYS) GHUMARWIN
,,BILASPUR (H.P.),GHUMARWIN-II,2080509601,GPS KOHINA
,,BILASPUR (H.P.),GHUMARWIN-II,2080509701,GPS DHARAR
,,BILASPUR (H.P.),GHUMARWIN-II,2080509702,GMS DHARARSANI
,,BILASPUR (H.P.),GHUMARWIN-II,2080510001,GPS SAMLETA
,,BILASPUR (H.P.),GHUMARWIN-II,2080510301,GPS CHHAT
,,BILASPUR (H.P.),GHUMARWIN-II,2080510401,GSSS RISHIKESH
,,BILASPUR (H.P.),GHUMARWIN-II,2080510501,GPS RISHIKESH
,,BILASPUR (H.P.),GHUMARWIN-II,2080510701,GPS JAMLI
,,BILASPUR (H.P.),GHUMARWIN-II,2080510901,GPS KOTHI
,,BILASPUR (H.P.),GHUMARWIN-II,2080510902,GSSS KOTHI
,,BILASPUR (H.P.),GHUMARWIN-II,2080511101,GPS BARWAR
,,BILASPUR (H.P.),GHUMARWIN-II,2080511102,GMS TANYUR
,,BILASPUR (H.P.),GHUMARWIN-II,2080511201,GPS BAIHNA JATAN
,,BILASPUR (H.P.),GHUMARWIN-II,2080511202,GPS GULANI
,,BILASPUR (H.P.),GHUMARWIN-II,2080511203,GSSS BEHNA JATTAN
,,BILASPUR (H.P.),GHUMARWIN-II,2080511501,GPS BERI DAROLA
,,BILASPUR (H.P.),GHUMARWIN-II,2080511601,GPS KALLAR
,,BILASPUR (H.P.),GHUMARWIN-II,2080511901,GPS AUHAR
,,BILASPUR (H.P.),GHUMARWIN-II,2080511902,GSSS AUHAR
,,BILASPUR (H.P.),GHUMARWIN-II,2080512101,GPS RAHIAN PALTHIN
,,BILASPUR (H.P.),GHUMARWIN-II,2080512201,GPS PEHARWIN KHAS
,,BILASPUR (H.P.),GHUMARWIN-II,2080512501,GPS BHAGER
,,BILASPUR (H.P.),GHUMARWIN-II,2080512502,GPS BAHLOO BANI
,,BILASPUR (H.P.),GHUMARWIN-II,2080512503,GHS BHAGER
,,BILASPUR (H.P.),GHUMARWIN-II,2080512601,GPS AMARPUR
,,BILASPUR (H.P.),GHUMARWIN-II,2080512602,GPS PANOL
,,BILASPUR (H.P.),GHUMARWIN-II,2080512603,GPS JOL DAKHETAR
,,BILASPUR (H.P.),GHUMARWIN-II,2080512604,GPS REWAL TAL
,,BILASPUR (H.P.),GHUMARWIN-II,2080512605,GSSS AMARPUR
,,BILASPUR (H.P.),GHUMARWIN-II,2080512901,GPS BALHU KHARYALA
,,BILASPUR (H.P.),GHUMARWIN-II,2080513101,GPS ROPA
,,BILASPUR (H.P.),GHUMARWIN-II,2080513601,GPS PEHERWIN
,,BILASPUR (H.P.),GHUMARWIN-II,2080513801,GPS NALTI
,,BILASPUR (H.P.),GHUMARWIN-II,2080513901,GPS PANOH
,,BILASPUR (H.P.),GHUMARWIN-II,2080513902,GSSS PANOH
,,BILASPUR (H.P.),GHUMARWIN-II,2080514101,GPS FATOH
,,BILASPUR (H.P.),GHUMARWIN-II,2080514301,GPS SAMOH
,,BILASPUR (H.P.),GHUMARWIN-II,2080514302,GPS JHORU
,,BILASPUR (H.P.),GHUMARWIN-II,2080514303,GPS DHINGU
,,BILASPUR (H.P.),GHUMARWIN-II,2080514304,GSSS SAMOH
,,BILASPUR (H.P.),GHUMARWIN-II,2080514401,GPS RAILLY
,,BILASPUR (H.P.),GHUMARWIN-II,2080514402,GMS RAILLY
,,BILASPUR (H.P.),GHUMARWIN-II,2080514501,GPS NIHAN
,,BILASPUR (H.P.),GHUMARWIN-II,2080514601,GPS KAJAIL
,,BILASPUR (H.P.),GHUMARWIN-II,2080514801,GPS NERAS
,,BILASPUR (H.P.),GHUMARWIN-II,2080515001,GPS BIJAYPUR
,,BILASPUR (H.P.),GHUMARWIN-II,2080515002,GPS BIJAYPUR SUNGALA
,,BILASPUR (H.P.),GHUMARWIN-II,2080515301,GPS HIRAPUR
,,BILASPUR (H.P.),GHUMARWIN-II,2080515401,GPS SERWA
,,BILASPUR (H.P.),GHUMARWIN-II,2080515402,GMS SERWA
,,BILASPUR (H.P.),GHUMARWIN-II,2080515601,GPS BARSAND
,,BILASPUR (H.P.),GHUMARWIN-II,2080515701,GPS SALASI
,,BILASPUR (H.P.),GHUMARWIN-II,2080516001,GPS BHADROUN
,,BILASPUR (H.P.),GHUMARWIN-II,2080516301,GPS GEHARWIN
,,BILASPUR (H.P.),GHUMARWIN-II,2080516302,GSSS GEHARWIN
,,BILASPUR (H.P.),GHUMARWIN-II,2080516501,GPS JANGALA
,,BILASPUR (H.P.),GHUMARWIN-II,2080516502,GPS CHATYAL BALH
,,BILASPUR (H.P.),GHUMARWIN-II,2080516503,GPS BALRA
,,BILASPUR (H.P.),GHUMARWIN-II,2080517001,GPS DHANETTAR
,,BILASPUR (H.P.),GHUMARWIN-II,2080517002,GPS PANJEEN
,,BILASPUR (H.P.),GHUMARWIN-II,2080517003,GSSS DHANETTAR
,,BILASPUR (H.P.),GHUMARWIN-II,2080517101,GPS RACHHERA
,,BILASPUR (H.P.),GHUMARWIN-II,2080517102,GMS RACHHEHRA
,,BILASPUR (H.P.),GHUMARWIN-II,2080517401,GPS RAO PANYALA
,,BILASPUR (H.P.),JHANDUTTA,2080300201,GPS TUNGARI
,,BILASPUR (H.P.),JHANDUTTA,2080300401,GPS BEHRAN
,,BILASPUR (H.P.),JHANDUTTA,2080300402,GPS KOHLI
,,BILASPUR (H.P.),JHANDUTTA,2080300403,GMS BEHRAN
,,BILASPUR (H.P.),JHANDUTTA,2080300404,GSSS JHANDUTTA
,,BILASPUR (H.P.),JHANDUTTA,2080300501,GPS KHATER
,,BILASPUR (H.P.),JHANDUTTA,2080300601,GPS JHANDUTTA
,,BILASPUR (H.P.),JHANDUTTA,2080300602,GPS JETHWIN
,,BILASPUR (H.P.),JHANDUTTA,2080300603,GPS MUKRANA
,,BILASPUR (H.P.),JHANDUTTA,2080300801,GPS AMROHA
,,BILASPUR (H.P.),JHANDUTTA,2080300901,GPS DHARAR
,,BILASPUR (H.P.),JHANDUTTA,2080301001,GPS PARAHU
,,BILASPUR (H.P.),JHANDUTTA,2080301401,GPS BHAROLI KALAN
,,BILASPUR (H.P.),JHANDUTTA,2080301501,GPS BHAROLI KHURD
,,BILASPUR (H.P.),JHANDUTTA,2080301502,GPS BAGROO
,,BILASPUR (H.P.),JHANDUTTA,2080301503,GMS BAGROO
,,BILASPUR (H.P.),JHANDUTTA,2080301901,GPS ARLOH CHAUNTA
,,BILASPUR (H.P.),JHANDUTTA,2080302001,GPS JADDU KULZIAR
,,BILASPUR (H.P.),JHANDUTTA,2080302002,GSSS JADDU KULZIAR
,,BILASPUR (H.P.),JHANDUTTA,2080302301,GPS KAROH
,,BILASPUR (H.P.),JHANDUTTA,2080302401,GPS KULZIAR
,,BILASPUR (H.P.),JHANDUTTA,2080302601,GPS BHERI
,,BILASPUR (H.P.),JHANDUTTA,2080302603,GSSS BHAROLI KALAN
,,BILASPUR (H.P.),JHANDUTTA,2080302604,GSSS BHERI
,,BILASPUR (H.P.),JHANDUTTA,2080302701,GPS BAKAIN
,,BILASPUR (H.P.),JHANDUTTA,2080302702,GMS BAKAIN
,,BILASPUR (H.P.),JHANDUTTA,2080302801,GPS TIHRI
,,BILASPUR (H.P.),JHANDUTTA,2080302802,GMS TIHRI
,,BILASPUR (H.P.),JHANDUTTA,2080302901,GPS JOHAR DHYANI
,,BILASPUR (H.P.),JHANDUTTA,2080303201,GPS KALOL
,,BILASPUR (H.P.),JHANDUTTA,2080303202,GSSS KALOL
,,BILASPUR (H.P.),JHANDUTTA,2080303501,GSSS MALRAON
,,BILASPUR (H.P.),JHANDUTTA,2080303601,GPS DUDHIAN
,,BILASPUR (H.P.),JHANDUTTA,2080303602,GPS JOHAD SUNDRI
,,BILASPUR (H.P.),JHANDUTTA,2080303701,GPS JHUNJNU
,,BILASPUR (H.P.),JHANDUTTA,2080303702,GMS JHUNJNU
